objectid,county,number_of_poor_individuals_2005,poverty_rate__percentage_
1,BARINGO,330222,58.5
2,BOMET,341053,50.7
3,BUNGOMA,737571,52.2
4,BUSIA,518951,66
5,EMBU,205282,55.2
6,GARISSA,233828,40.8
7,HOMABAY,217305,54.5
8,ISIOLO,374859,43.1
9,KAJIADO,71729,63.1
10,KAKAMEGA,58803,12.1
11,ELGEYO-MARAKWET,793302,52.1
12,KERICHO,266367,39.2
13,KIAMBU,386258,25.4
14,KILIFI,663309,66.9
15,KIRINYAGA,138675,25.6
16,KISII,627423,59.8
17,KISUMU,447946,45
18,KITUI,641371,62.5
19,KWALE,535821,72.9
20,LAIKIPIA,203945,48.1
21,LAMU,24664,30.6
22,MACHAKOS,685222,57
23,MAKUENI,631865,63.8
24,MANDERA,273227,85.7
25,MARSABIT,171250,79.3
26,MERU,365219,27.5
27,MIGORI,349238,45.8
28,MOMBASA,335150,37.6
29,MURANGA,311699,30.7
30,NAIROBI,618464,22
31,NAKURU,556168,41.8
32,NANDI,364000,47.2
33,NAROK,226406,33.7
34,NYAMIRA,264465,46.3
35,NYANDARUA,269719,49.8
36,NYERI,245077,32.4
37,SAMBURU,154808,77.7
38,SIAYA,286615,35.6
39,TAITA-TAVETA,168240,54.8
40,TANA-RIVER,206494,75.4
41,THARAKA-NITHI,136688,36.9
42,TRANS-NZOIA,441008,50.1
43,TURKANA,500662,92.9
44,UASIN-GISHU,339638,44.6
45,VIHIGA,255639,41.3
46,WAJIR,328024,84.4
47,WEST POKOT,258873,68.7
